iter	Logloss
0	0.5967663145
1	0.5307987975
2	0.4926122273
3	0.4677053793
4	0.4526995585
5	0.4417105877
6	0.4342443322
7	0.4308666925
8	0.4261719023
9	0.4229385898
10	0.4203623946
11	0.4185863191
12	0.4174364314
13	0.4169091093
14	0.4154380382
15	0.4146057255
16	0.4134625013
17	0.4126539365
18	0.4122661394
19	0.4110747629
20	0.4103314356
21	0.4094148332
22	0.4089479836
23	0.4084554073
24	0.4080213249
25	0.4075682553
26	0.4065009122
27	0.4057042631
28	0.4052171881
29	0.4049939893
30	0.4043916617
31	0.4038845757
32	0.4031151856
33	0.4023254406
34	0.4023077724
35	0.4016138923
36	0.401305399
37	0.4010375903
38	0.4004405759
39	0.3997759613
40	0.3994658109
41	0.3990411924
42	0.3983933577
43	0.3975107338
44	0.3964589799
45	0.3961730411
46	0.3949969627
47	0.3947434452
48	0.394428561
49	0.3937201604
50	0.3933026117
51	0.3923768455
52	0.3918282151
53	0.3908521849
54	0.3908024217
55	0.3904883521
56	0.3901618223
57	0.3900899952
58	0.3898302245
59	0.3896526862
60	0.3888408325
61	0.3886269348
62	0.3886197
63	0.3883185397
64	0.3868929974
65	0.3867179837
66	0.3860056934
67	0.385937217
68	0.3858074928
69	0.3854771636
70	0.3853144966
71	0.3850148319
72	0.3846743235
73	0.3846661644
74	0.3846531851
75	0.3840764221
76	0.3836584496
77	0.3831726588
78	0.3823496981
79	0.3821948539
80	0.3817463428
81	0.3805373235
82	0.3799504992
83	0.3793337941
84	0.3790371754
85	0.3780795974
86	0.3779026197
87	0.377597892
88	0.3766155937
89	0.3763926988
90	0.3756372677
91	0.3752020748
92	0.3746399688
93	0.3741526262
94	0.3738233104
95	0.3735316774
96	0.3728184279
97	0.3716938165
98	0.371616829
99	0.3706129723
