iter	Passed	Remaining
0	48	4783
1	89	4390
2	132	4271
3	171	4125
4	211	4012
5	250	3919
6	289	3850
7	329	3789
8	370	3742
9	412	3709
10	453	3670
11	495	3632
12	536	3589
13	577	3547
14	617	3500
15	658	3458
16	699	3415
17	740	3374
18	795	3389
19	857	3430
20	933	3511
21	1014	3595
22	1103	3693
23	1203	3811
24	1279	3838
25	1353	3851
26	1413	3820
27	1466	3770
28	1515	3710
29	1563	3647
30	1609	3582
31	1654	3516
32	1700	3453
33	1746	3391
34	1790	3325
35	1836	3265
36	1880	3201
37	1923	3139
38	1967	3077
39	2010	3015
40	2051	2952
41	2095	2894
42	2138	2835
43	2181	2776
44	2223	2718
45	2265	2659
46	2307	2602
47	2348	2544
48	2391	2489
49	2436	2436
50	2478	2381
51	2521	2327
52	2562	2272
53	2606	2220
54	2645	2164
55	2686	2111
56	2726	2056
57	2764	2002
58	2803	1948
59	2843	1895
60	2884	1844
61	2925	1793
62	2965	1741
63	3006	1691
64	3046	1640
65	3088	1591
66	3127	1540
67	3165	1489
68	3208	1441
69	3248	1392
70	3287	1342
71	3325	1293
72	3365	1244
73	3403	1195
74	3441	1147
75	3482	1099
76	3522	1052
77	3562	1004
78	3603	957
79	3642	910
80	3682	863
81	3721	816
82	3761	770
83	3801	724
84	3845	678
85	3886	632
86	3927	586
87	3967	540
88	4007	495
89	4052	450
90	4093	404
91	4131	359
92	4170	313
93	4208	268
94	4248	223
95	4288	178
96	4328	133
97	4368	89
98	4406	44
99	4447	0
