iter	Logloss
0	0.595044271
1	0.5358137939
2	0.5011308488
3	0.4769785983
4	0.4586998177
5	0.4495957488
6	0.4412518334
7	0.4347923318
8	0.4296266652
9	0.4264468928
10	0.4249849477
11	0.4216491728
12	0.4192497708
13	0.4170280498
14	0.4153361921
15	0.4140279242
16	0.412090958
17	0.4103405126
18	0.4092940382
19	0.4085364101
20	0.4075044698
21	0.4064950268
22	0.4056598284
23	0.4051441904
24	0.4039935864
25	0.4036615493
26	0.4030146702
27	0.4023395718
28	0.4023363726
29	0.4010923217
30	0.3994236171
31	0.3987107162
32	0.3977352793
33	0.3974076247
34	0.3969822557
35	0.3965213569
36	0.3963249477
37	0.3956789569
38	0.394928168
39	0.3943879625
40	0.393450721
41	0.3932413793
42	0.3930051511
43	0.3929623475
44	0.3929615501
45	0.3922659129
46	0.391582979
47	0.3898025893
48	0.3891330912
49	0.3891260398
50	0.3878860974
51	0.3869854324
52	0.3866170979
53	0.3861730373
54	0.3848977877
55	0.3847382853
56	0.3843573596
57	0.3841593635
58	0.3819731732
59	0.3816072914
60	0.3810857049
61	0.3809129866
62	0.3807071948
63	0.3801939314
64	0.3801794748
65	0.378657322
66	0.377920631
67	0.3775413297
68	0.377522349
69	0.3772932971
70	0.3761901381
71	0.3761576215
72	0.3746256866
73	0.3736416151
74	0.3736357913
75	0.3732899433
76	0.3728322949
77	0.3713466975
78	0.3708800152
79	0.3708765082
80	0.3706617133
81	0.3700518879
82	0.3697595399
83	0.3686881776
84	0.3673982574
85	0.3672515578
86	0.366979702
87	0.366565365
88	0.3662420698
89	0.365603358
90	0.3647661637
91	0.3646485325
92	0.3641076751
93	0.3640024385
94	0.3639178454
95	0.3639163937
96	0.3638264467
97	0.3636041902
98	0.3634012353
99	0.3631899043
