iter	Passed	Remaining
0	29	2933
1	60	2970
2	90	2920
3	117	2825
4	147	2805
5	179	2813
6	211	2807
7	245	2817
8	274	2773
9	301	2709
10	331	2681
11	362	2659
12	391	2622
13	420	2583
14	449	2545
15	481	2527
16	515	2514
17	544	2481
18	573	2442
19	601	2406
20	630	2371
21	660	2340
22	691	2313
23	723	2290
24	751	2255
25	782	2226
26	812	2196
27	840	2160
28	855	2094
29	887	2070
30	918	2044
31	946	2011
32	977	1984
33	1005	1951
34	1034	1921
35	1065	1893
36	1094	1863
37	1123	1833
38	1155	1806
39	1185	1777
40	1215	1749
41	1245	1720
42	1275	1690
43	1299	1653
44	1315	1607
45	1344	1577
46	1376	1551
47	1404	1521
48	1433	1491
49	1456	1456
50	1488	1430
51	1520	1403
52	1550	1374
53	1576	1343
54	1604	1312
55	1633	1283
56	1662	1254
57	1691	1225
58	1722	1196
59	1749	1166
60	1778	1137
61	1810	1109
62	1839	1080
63	1869	1051
64	1897	1021
65	1931	995
66	1961	965
67	1991	937
68	2021	908
69	2054	880
70	2086	852
71	2113	821
72	2144	793
73	2174	763
74	2194	731
75	2222	701
76	2248	671
77	2276	641
78	2306	613
79	2322	580
80	2351	551
81	2381	522
82	2412	494
83	2442	465
84	2469	435
85	2498	406
86	2529	377
87	2559	349
88	2589	320
89	2618	290
90	2649	262
91	2677	232
92	2707	203
93	2738	174
94	2772	145
95	2788	116
96	2818	87
97	2849	58
98	2878	29
99	2907	0
